SA2 2011,SA2 2016,Weight
213021344,213021344,1
213021345,213021345,1
213021346,213021346,1
213031347,213031347,1
213031348,213031348,1
213031349,213031349,1
213031350,213031350,1
213031351,213031351,1
213031352,213031352,1
213041353,213041353,1
213041354,213041461,0.166828
213041354,213041462,0.1917144
213041354,213041463,0.6414576
213041355,213041355,1
213041356,213041356,1
213041357,213041357,1
213041358,213041358,1
213041359,213041359,1
213041360,213041360,1
213051361,213051361,0.9999999
213051361,213051366,0.0000001
213051362,213051362,1
213051363,213051363,1
213051364,213051464,0.1996861
213051364,213051465,0.6073241
213051364,213051466,0.1929899
213051365,213051365,1
213051366,213051366,1
213051367,213051467,0.6347217
213051367,213051468,0.3652783
213051368,213051368,1
213051369,213051369,1
214011370,214011370,1
214011371,214011371,1
214011372,214011372,1
214011373,214011373,1
214011374,214011374,1
214011375,214011375,1
214011376,214011376,1
214021377,214021377,1
214021378,214021378,1
214021379,214021379,1
214021380,214021380,1
214021381,214021381,1
214021382,214021382,1
214021383,214021383,1
214021384,214021384,1
214021385,214021385,1
215011386,215011386,1
215011387,215011387,1
215011388,215011388,1
215011389,215011389,1
215011390,215011390,1
215011391,215011391,1
215011392,215011392,1
215011393,215011393,1
215011394,215011394,1
215021395,215021395,1
215021396,215021396,1
215021397,215021395,0.0009158
215021397,215021469,0.5603256
215021397,215021470,0.4387585
215021398,215021398,1
215021399,215021399,1
215031400,215031400,1
215031401,215031401,1
215031402,215031402,1
215031403,215031403,1
215031404,215031404,1
215031405,215031405,1
216011406,216011406,1
216011407,216011407,1
216011408,216011408,1
216011409,216011409,1
216011410,216011410,1
216021411,216021411,1
216021412,216021412,1
216021413,216021413,1
216021414,216021414,1
216031415,216031415,1
216031416,216031416,1
216031417,216031417,1
216031418,216031418,1
216031419,216031419,1
217011420,217011420,1
217011421,217011421,1
217011422,217011422,1
217011423,217011423,1
217021424,217031471,1
217021425,217031472,1
217021426,217031473,1
217021427,217031474,1
217021428,217031475,1
217021429,217041477,0.999706
217021429,217041478,0.000294
217021430,217041478,1
217021431,217031476,1
217021432,217041479,1
217021433,217041480,1
297979799,297979799,1
299999499,299999499,1
301011001,301011001,1
301011002,301011002,0.9997436
301011002,303031064,0.0002564
301011003,301011003,1
301011004,301011004,1
